key,cz,en,ru
GoblinTower,哥布林地穴,Goblin Cave,Гоблинская пещера
GoblinTower Description,绿皮肤的小矮子,Small green-skinned creatures,Маленькие зеленокожие карлики
MagicTower,魔法学院,null
MagicTower Description,掌握强大力量的人类,null
SpriteTower,妖精树屋,null
SpriteTower Description,森林的宠儿,null
RobotTower,傀儡工坊,null
RobotTower Description,铁与火的奇妙造物,null
Pyramid,不死者之墓,null
Pyramid Description,转生者的安息之地,null
BloodCastle,鲜血城堡,null
BloodCastle Description,嗜血巢穴,null
FishPeopleTower,鱼人巢穴,null
FishPeopleTower Description,黏糊糊的咸鱼,null
